,б,п,д,т,г,к,в,ф,з,с,ж,ш,щ,й,х,ц,ч,м,н,л,р
б,"0,00 ",,,,,,,,,,,,,,,,,,,,
п,"0,50 ","0,00 ",,,,,,,,,,,,,,,,,,,
д,"1,00 ","1,12 ","0,00 ",,,,,,,,,,,,,,,,,,
т,"1,12 ","1,00 ","0,50 ","0,00 ",,,,,,,,,,,,,,,,,
г,"1,00 ","1,12 ","1,00 ","1,12 ","0,00 ",,,,,,,,,,,,,,,,
к,"1,12 ","1,00 ","1,12 ","1,00 ","0,50 ","0,00 ",,,,,,,,,,,,,,,
в,"1,25 ","1,35 ","1,60 ","1,68 ","1,60 ","1,68 ","0,00 ",,,,,,,,,,,,,,
ф,"1,35 ","1,25 ","1,68 ","1,60 ","1,68 ","1,60 ","0,50 ","0,00 ",,,,,,,,,,,,,
з,"1,80 ","1,87 ","1,80 ","1,87 ","1,80 ","1,87 ","1,50 ","1,58 ","0,00 ",,,,,,,,,,,,
с,"1,87 ","1,80 ","1,87 ","1,50 ","1,87 ","1,80 ","1,58 ","1,50 ","0,50 ","0,00 ",,,,,,,,,,,
ж,"1,95 ","2,02 ","1,95 ","2,02 ","1,95 ","2,02 ","1,68 ","1,75 ","0,75 ","0,90 ","0,00 ",,,,,,,,,,
ш,"2,02 ","1,95 ","2,02 ","1,95 ","2,02 ","1,95 ","1,75 ","1,68 ","0,90 ","0,75 ","0,50 ","0,00 ",,,,,,,,,
щ,"2,08 ","2,02 ","2,08 ","2,02 ","2,08 ","2,02 ","1,82 ","1,75 ","1,03 ","0,90 ","0,71 ","0,50 ","0,00 ",,,,,,,,
й,"1,84 ","1,77 ","1,84 ","1,77 ","1,84 ","1,46 ","2,22 ","2,17 ","2,37 ","2,17 ","2,22 ","2,17 ","2,22 ","0,00 ",,,,,,,
х,"1,35 ","1,25 ","1,35 ","1,25 ","0,90 ","0,75 ","1,84 ","1,77 ","2,02 ","1,95 ","2,15 ","2,09 ","2,15 ","1,25 ","0,00 ",,,,,,
ц,"1,68 ","1,60 ","1,35 ","1,25 ","1,58 ","1,50 ","2,42 ","2,37 ","1,90 ","1,00 ","1,75 ","1,68 ","1,60 ","1,60 ","2,03 ","0,00 ",,,,,
ч,"1,68 ","1,60 ","1,35 ","1,25 ","1,68 ","1,60 ","2,08 ","2,02 ","1,44 ","1,35 ","1,22 ","1,12 ","1,00 ",,"1,68 ","1,25 ","0,00 ",,,,
м,"1,50 ","1,58 ","1,80 ","1,87 ","1,80 ","1,87 ","1,50 ","1,58 ","2,35 ","2,40 ","2,46 ","2,51 ","2,70 ","2,37 ","2,02 ","2,25 ",,"0,00 ",,,
н,"1,68 ","1,75 ","1,50 ","1,58 ","1,80 ","1,87 ","1,75 ","1,82 ","2,35 ","2,40 ","2,46 ","2,51 ","2,70 ","2,37 ","2,02 ","2,02 ",,"0,75 ","0,00 ",,
л,"1,95 ","2,02 ","1,80 ","1,87 ","2,06 ","2,12 ","2,02 ","2,08 ","2,55 ","2,60 ","2,66 ","2,70 ","2,88 ","2,57 ","2,25 ","2,25 ",,"1,25 ","1,00 ","0,00 ",
р,"2,09 ","2,15 ","1,95 ","2,02 ","2,19 ","2,25 ","2,15 ","2,21 ","2,66 ","2,70 ","2,76 ","2,81 ","2,98 ","2,68 ","2,37 ","2,37 ",,"1,46 ","1,25 ","0,75 ","0,00 "
